YYYY-MM-DD,daily_rain,max_temp,min_temp,anomaly_isoforest
30/07/1980,7.333333333,13.3,12.63333333,-1
31/07/1980,26.8,12.54444444,8.0,-1
26/08/1980,12.77777778,14.83333333,8.666666667,-1
25/10/1980,22.16666667,17.75555556,15.52222222,-1
26/10/1980,47.95555556,21.56666667,15.62222222,-1
26/11/1980,27.27777778,26.65555556,15.91111111,-1
30/12/1980,40.88888889,24.83333333,15.37777778,-1
2/01/1981,60.73333333,25.67777778,18.63333333,-1
5/02/1981,18.08888889,28.71111111,19.96666667,-1
6/02/1981,42.0,25.55555556,19.87777778,-1
7/02/1981,61.3,24.98888889,20.01111111,-1
8/02/1981,63.57777778,29.66666667,20.04444444,-1
9/02/1981,38.24444444,30.07777778,21.28888889,-1
15/02/1981,37.24444444,28.77777778,19.47777778,-1
16/02/1981,23.52222222,30.22222222,20.2,-1
21/02/1981,21.66666667,29.7,19.64444444,-1
2/04/1981,55.86666667,22.36666667,15.78888889,-1
22/05/1981,32.63333333,19.56666667,12.57777778,-1
1/06/1981,24.83333333,17.36666667,14.94444444,-1
2/06/1981,16.88888889,16.71111111,11.73333333,-1
11/06/1981,17.43333333,14.9,8.3,-1
19/06/1981,3.211111111,12.84444444,5.211111111,-1
24/06/1981,5.522222222,12.96666667,3.944444444,-1
11/07/1981,0.0,15.36666667,-3.211111111,-1
22/07/1981,35.47777778,19.2,11.12222222,-1
25/08/1981,5.622222222,12.9,9.866666667,-1
26/08/1981,21.16666667,17.81111111,8.188888889,-1
21/09/1981,21.36666667,23.97777778,9.188888889,-1
2/11/1981,25.32222222,19.74444444,14.7,-1
20/11/1981,17.66666667,18.46666667,10.1,-1
26/11/1981,19.28888889,26.43333333,14.18888889,-1
4/12/1981,24.44444444,29.62222222,13.2,-1
21/12/1981,38.73333333,28.66666667,19.2,-1
22/12/1981,28.37777778,30.22222222,19.86666667,-1
24/12/1981,38.16666667,27.74444444,17.26666667,-1
30/12/1981,19.33333333,33.23333333,15.13333333,-1
20/01/1982,27.07777778,23.63333333,18.88888889,-1
21/01/1982,64.93333333,23.3,19.38888889,-1
25/02/1982,67.24444444,21.24444444,16.32222222,-1
3/03/1982,21.8,22.21111111,18.56666667,-1
8/03/1982,17.68888889,28.87777778,18.84444444,-1
31/03/1982,9.977777778,19.91111111,18.97777778,-1
1/04/1982,20.75555556,23.17777778,16.13333333,-1
23/06/1982,0.0,15.17777778,-5.433333333,-1
25/06/1982,0.0,15.54444444,-4.033333333,-1
30/07/1982,0.0,14.23333333,-2.311111111,-1
6/09/1982,23.75555556,25.86666667,11.26666667,-1
23/09/1982,9.111111111,18.76666667,4.822222222,-1
10/10/1982,19.28888889,19.45555556,11.77777778,-1
11/10/1982,32.9,19.53333333,9.511111111,-1
2/12/1982,24.6,27.58888889,16.72222222,-1
3/12/1982,30.88888889,28.33333333,15.37777778,-1
3/01/1983,27.35555556,28.58888889,19.9,-1
10/01/1983,14.77777778,31.81111111,19.84444444,-1
11/01/1983,7.866666667,33.36666667,20.5,-1
13/02/1983,12.1,33.55555556,19.02222222,-1
17/03/1983,26.14444444,22.63333333,16.51111111,-1
21/03/1983,48.25555556,22.68888889,17.77777778,-1
26/04/1983,9.322222222,13.38888889,10.71111111,-1
28/04/1983,36.56666667,18.25555556,13.03333333,-1
1/05/1983,25.86666667,20.01111111,16.18888889,-1
2/05/1983,37.86666667,18.87777778,15.92222222,-1
3/05/1983,41.94444444,18.56666667,14.85555556,-1
28/05/1983,63.74444444,17.17777778,14.28888889,-1
21/06/1983,33.93333333,13.02222222,11.94444444,-1
22/06/1983,84.96666667,13.64444444,11.11111111,-1
23/06/1983,40.86666667,18.76666667,9.566666667,-1
29/07/1983,19.88888889,16.01111111,13.6,-1
27/08/1983,16.75555556,16.05555556,7.333333333,-1
6/10/1983,25.61111111,17.55555556,8.788888889,-1
16/11/1983,24.87777778,19.33333333,14.98888889,-1
21/11/1983,31.14444444,17.53333333,12.11111111,-1
29/11/1983,20.85555556,21.56666667,15.83333333,-1
17/01/1984,19.58888889,31.37777778,19.67777778,-1
28/01/1984,19.66666667,21.88888889,17.95555556,-1
14/02/1984,40.84444444,27.64444444,17.18888889,-1
8/04/1984,50.2,19.24444444,15.26666667,-1
9/04/1984,77.58888889,21.06666667,12.86666667,-1
18/06/1984,25.13333333,17.26666667,11.65555556,-1
26/06/1984,16.71111111,16.73333333,6.255555556,-1
